x,y,z
-7.754275,-6.398833,27.876295
-7.621841,-6.353831,27.624096
-7.495381,-6.327818,27.360471
-7.376633,-6.321884,27.087232
-7.267473,-6.337056,26.806600
-7.169847,-6.374249,26.521193
-7.085699,-6.434253,26.233938
-7.016909,-6.517786,25.947904
-6.965275,-6.625664,25.666109
-6.932621,-6.759136,25.391321
-6.921083,-6.920541,25.125855
-6.933842,-7.114917,24.871132
-6.977696,-7.355993,24.625526
-7.095959,-7.749571,24.346940
-7.193303,-7.998285,24.233222
-7.311473,-8.260535,24.158218
-7.435381,-8.506625,24.126747
-7.567747,-8.746795,24.131090
-7.705869,-8.978304,24.168078
-7.848745,-9.200989,24.235094
-7.994953,-9.413578,24.329842
-8.143275,-9.614911,24.450254
-8.292516,-9.803747,24.594332
-8.441563,-9.978886,24.760129
-8.589364,-10.139175,24.945731
-8.734930,-10.283535,25.149246
-8.877331,-10.410954,25.368810
-9.015688,-10.520492,25.602585
-9.149159,-10.611272,25.848763
-9.276937,-10.682463,26.105566
-9.398230,-10.733272,26.371245
-9.512254,-10.762916,26.644087
-9.618213,-10.770595,26.922416
-9.715209,-10.755468,27.204380
-9.802366,-10.716603,27.488364
-9.878720,-10.652845,27.772867
-9.943146,-10.562595,28.056579
-9.994233,-10.443372,28.338604
-10.030000,-10.290659,28.619120
-10.047001,-10.093796,28.902012
-10.033783,-9.800560,29.220468
-9.995321,-9.542994,29.429917
-9.940537,-9.298354,29.582316
-9.872043,-9.059133,29.694276
-9.791734,-8.824672,29.772125
-9.700874,-8.594892,29.819743
-9.600547,-8.370377,29.839649
-9.491683,-8.151859,29.833696
-9.375130,-7.940163,29.803333
-9.251685,-7.736137,29.749750
-9.122112,-7.540638,29.673959
-8.987259,-7.354649,29.576922
-8.847881,-7.178991,29.459462
-8.704741,-7.014484,29.322327
-8.558631,-6.861961,29.166208
-8.410380,-6.722271,28.991758
-8.260877,-6.596294,28.799616
-8.111088,-6.484950,28.590435
-7.962080,-6.389212,28.364921
-7.815050,-6.310114,28.123885
-7.671353,-6.248750,27.868315
-7.532527,-6.206263,27.599468
-7.400305,-6.183807,27.318963
-7.276603,-6.182490,27.028879
-7.163468,-6.203299,26.731788
-7.062983,-6.247036,26.430708
-6.977155,-6.314295,26.128944
-6.907833,-6.405548,25.829851
-6.856698,-6.521340,25.536593
