SunX,SunY,PlanetX,PlanetY,zComp
0.057460,-0.471379,205876663.647817,-1650185677.741226,0
0.058435,-0.479333,205935355.137669,-1650178710.052217,0
0.059435,-0.487487,205995014.525775,-1650171625.287826,0
0.060460,-0.495847,206055665.526503,-1650164420.524097,0
0.061512,-0.504419,206117332.624907,-1650157092.740160,0
0.062591,-0.513212,206180041.107950,-1650149638.814223,0
0.063698,-0.522232,206243817.097245,-1650142055.519364,0
0.064834,-0.531488,206308687.583407,-1650134339.519117,0
0.066000,-0.540988,206374680.462090,-1650126487.362830,0
0.067197,-0.550739,206441824.571820,-1650118495.480795,0
0.068427,-0.560752,206510149.733720,-1650110360.179119,0
0.069690,-0.571034,206579686.793255,-1650102077.634337,0
0.070987,-0.581597,206650467.664081,-1650093643.887746,0
0.072321,-0.592450,206722525.374167,-1650085054.839431,0
0.073691,-0.603603,206795894.114287,-1650076306.241988,0
0.075100,-0.615068,206870609.289052,-1650067393.693902,0
0.076549,-0.626856,206946707.570624,-1650058312.632576,0
0.078040,-0.638979,207024226.955280,-1650049058.326975,0
0.079574,-0.651450,207103206.822997,-1650039625.869871,0
0.081152,-0.664283,207183688.000262,-1650030010.169661,0
0.082777,-0.677490,207265712.826288,-1650020205.941720,0
0.084450,-0.691087,207349325.222872,-1650010207.699282,0
0.086173,-0.705088,207434570.768117,-1650000009.743793,0
0.087949,-0.719510,207521496.774271,-1649989606.154715,0
0.089778,-0.734369,207610152.369949,-1649978990.778740,0
0.091664,-0.749684,207700588.587035,-1649968157.218379,0
0.093609,-0.765472,207792858.452559,-1649957098.819876,0
0.095615,-0.781752,207887017.085896,-1649945808.660406,0
0.097685,-0.798546,207983121.801641,-1649934279.534504,0
0.099821,-0.815875,208081232.218542,-1649922503.939675,0
0.102027,-0.833761,208181410.374922,-1649910474.061124,0
0.104304,-0.852228,208283720.851018,-1649898181.755545,0
0.106657,-0.871301,208388230.898747,-1649885618.533897,0
0.109089,-0.891006,208495010.579407,-1649872775.543103,0
0.111603,-0.911371,208604132.909879,-1649859643.546577,0
0.114202,-0.932425,208715674.017960,-1649846212.903515,0
0.116891,-0.954200,208829713.307471,-1649832473.546828,0
0.119674,-0.976728,208946333.633874,-1649818414.959646,0
0.122556,-1.000043,209065621.491163,-1649804026.150252,0
0.125539,-1.024182,209187667.210896,-1649789295.625355,0
0.128631,-1.049183,209312565.174266,-1649774211.361546,0
0.131835,-1.075087,209440414.038216,-1649758760.774813,0
0.135157,-1.101937,209571316.976694,-1649742930.687948,0
0.138603,-1.129780,209705381.938211,-1649726707.295682,0
0.142179,-1.158663,209842721.921009,-1649710076.127363,0
0.145892,-1.188638,209983455.267222,-1649693022.006968,0
0.149748,-1.219760,210127705.977583,-1649675529.010234,0
0.153754,-1.252086,210275604.048331,-1649657580.418667,0
0.157919,-1.285679,210427285.832162,-1649639158.670152,0
0.162251,-1.320604,210582894.425216,-1649620245.305881,0
0.166759,-1.356931,210742580.082295,-1649600820.913272,0
0.171451,-1.394734,210906500.662720,-1649580865.064535,0
0.176339,-1.434093,211074822.109454,-1649560356.250479,0
0.181433,-1.475092,211247718.964402,-1649539271.809151,0
0.186744,-1.517822,211425374.923067,-1649517587.848812,0
0.192284,-1.562380,211607983.432067,-1649495279.164749,0
0.198068,-1.608868,211795748.333390,-1649472319.149325,0
