SunX,SunY,PlanetX,PlanetY
62795.556756,-110266.676228,7840670552.397395,-4458308596.689422
63431.494953,-111222.587102,7900278583.298822,-4483732740.707012
64068.325343,-112179.004327,7959914580.184165,-4509172755.912852
64706.035802,-113135.920094,8019578163.044902,-4534628397.518471
65344.614444,-114093.326765,8079268959.319117,-4560099426.175650
65984.049615,-115051.216872,8138986603.703914,-4585585607.820609
66624.329888,-116009.583113,8198730737.973532,-4611086713.523603
67265.444053,-116968.418343,8258501010.802951,-4636602519.343704
67907.381117,-117927.715570,8318297077.596801,-4662132806.188579
68550.130296,-118887.467956,8378118600.323392,-4687677359.679031
69193.681011,-119847.668808,8437965247.353684,-4713235970.018157
69838.022879,-120808.311573,8497836693.305030,-4738808431.864894
70483.145717,-121769.389839,8557732618.889523,-4764394544.211816
71129.039525,-122730.897328,8617652710.766800,-4789994110.266998
71775.694495,-123692.827891,8677596661.401140,-4815606937.339796
72423.100995,-124655.175509,8737564168.922720,-4841232836.730380
73071.249570,-125617.934284,8797554936.992880,-4866871623.622892
73720.130941,-126581.098442,8857568674.673267,-4892523116.982081
74369.735992,-127544.662324,8917605096.298739,-4918187139.453279
75020.055774,-128508.620385,8977663921.353872,-4943863517.265596
75671.081500,-129472.967193,9037744874.352997,-4969552080.138225
76322.804536,-130437.697424,9097847684.723606,-4995252661.189708
76975.216405,-131402.805859,9157972086.693047,-5020965096.850090
77628.308776,-132368.287383,9218117819.178381,-5046689226.775831
78282.073466,-133334.136981,9278284625.679314,-5072424893.767378
78936.502437,-134300.349733,9338472254.174093,-5098171943.689306
79591.587786,-135266.920820,9398680457.018272,-5123930225.392929
80247.321750,-136233.845510,9458908990.846262,-5149699590.641292
80903.696698,-137201.119166,9519157616.475567,-5175479894.036457
81560.705130,-138168.737236,9579426098.813629,-5201270992.949009
82218.339674,-139136.695257,9639714206.767195,-5227072747.449688
82876.593082,-140104.988849,9700021713.154120,-5252885020.243087
83535.458228,-141073.613712,9760348394.617546,-5278707676.603330
84194.928106,-142042.565628,9820694031.542366,-5304540584.311669
84854.995827,-143011.840458,9881058407.973908,-5330383613.595935
85515.654614,-143981.434137,9941441311.538775,-5356236637.071759
86176.897805,-144951.342676,10001842533.367765,-5382099529.685536
86838.718845,-145921.562157,10062261868.020819,-5407972168.659038
87501.111288,-146892.088735,10122699113.413912,-5433854433.435636
88164.068790,-147862.918631,10183154070.747860,-5459746205.628082
88827.585114,-148834.048138,10243626544.438963,-5485647368.967784
89491.654118,-149805.473610,10304116342.051430,-5511557809.255527
90156.269763,-150777.191470,10364623274.231533,-5537477414.313601
90821.426103,-151749.198201,10425147154.643452,-5563406073.939282
91487.117289,-152721.490350,10485687799.906742,-5589343679.859614
92153.337562,-153694.064522,10546245029.535379,-5615290125.687470
92820.081254,-154666.917381,10606818665.878345,-5641245306.878815
93487.342788,-155640.045650,10667408534.061701,-5667209120.691178
94155.116670,-156613.446107,10728014461.932102,-5693181466.143253
94823.397494,-157587.115585,10788636280.001722,-5719162243.975608
95492.179935,-158561.050972,10849273821.394535,-5745151356.612474
96161.458752,-159535.249206,10909926921.793919,-5771148708.124565
96831.228783,-160509.707279,10970595419.391542,-5797154204.192909
97501.484943,-161484.422232,11031279154.837511,-5823167752.073642
98172.222225,-162459.391154,11091977971.191710,-5849189260.563753
98843.435700,-163434.611185,11152691713.876328,-5875218639.967740
99515.120508,-164410.079510,11213420230.629534,-5901255802.065141
100187.271865,-165385.793360,11274163371.460253,-5927300660.078933
100859.885056,-166361.750012,11334920988.604031,-5953353128.644754
101532.955437,-167337.946787,11395692936.479940,-5979413123.780925
102206.478433,-168314.381047,11456479071.648518,-6005480562.859263
102880.449534,-169291.050201,11517279252.770683,-6031555364.576637
103554.864296,-170267.951694,11578093340.567631,-6057637448.927261
104229.718340,-171245.083015,11638921197.781651,-6083726737.175700
104905.007352,-172222.441692,11699762689.137873,-6109823151.830560
105580.727077,-173200.025291,11760617681.306887,-6135926616.618846
106256.873323,-174177.831418,11821486042.868233,-6162037056.460974
106933.441957,-175155.857713,11882367644.274727,-6188154397.446402
107610.428904,-176134.101856,11943262357.817606,-6214278566.809878
108287.830148,-177112.561561,12004170057.592468,-6240409492.908281
108965.641729,-178091.234578,12065090619.465982,-6266547105.198029
109643.859742,-179070.118689,12126023921.043358,-6292691334.213047
110322.480337,-180049.211713,12186969841.636538,-6318842111.543287
111001.499716,-181028.511499,12247928262.233112,-6344999369.813760
111680.914136,-182008.015932,12308899065.465925,-6371163042.664082
112360.719903,-182987.722925,12369882135.583355,-6397333064.728522
113040.913376,-183967.630424,12430877358.420254,-6423509371.616530
113721.490962,-184947.736406,12491884621.369530,-6449691899.893721
114402.449118,-185928.038876,12552903813.354355,-6475880587.063334
115083.784347,-186908.535871,12613934824.800980,-6502075371.548116
115765.493201,-187889.225453,12674977547.612137,-6528276192.672646
116447.572278,-188870.105716,12736031875.141029,-6554482990.646068
117130.018220,-189851.174780,12797097702.165876,-6580695706.545238
117812.827717,-190832.430792,12858174924.865009,-6606914282.298260
118495.997499,-191813.871926,12919263440.792503,-6633138660.668407
119179.524341,-192795.496382,12980363148.854328,-6659368785.238416
119863.405060,-193777.302386,13041473949.285006,-6685604600.395146
120547.636515,-194759.288189,13102595743.624763,-6711846051.314589
121232.215607,-195741.452067,13163728434.697172,-6738093083.947218
121917.139275,-196723.792318,13224871926.587254,-6764345645.003682
122602.404498,-197706.307268,13286026124.620047,-6790603681.940816
123288.008295,-198688.995263,13347190935.339619,-6816867142.947969
123973.947724,-199671.854673,13408366266.488518,-6843135976.933641
124660.219878,-200654.883890,13469552026.987644,-6869410133.512422
125346.821888,-201638.081330,13530748126.916550,-6895689562.992218
126033.750922,-202621.445428,13591954477.494125,-6921974216.361767
126721.004184,-203604.974642,13653170991.059700,-6948264045.278423
127408.578912,-204588.667452,13714397581.054512,-6974559002.056219
128096.472379,-205572.522355,13775634162.003569,-7000859039.654185
128784.681893,-206556.537873,13836880649.497866,-7027164111.664926
129473.204793,-207540.712543,13898136960.176968,-7053474172.303446
130162.038454,-208525.044925,13959403011.711937,-7079789176.396216
130851.180281,-209509.533597,14020678722.788610,-7106109079.370480
131540.627712,-210494.177155,14081964013.091202,-7132433837.243784
132230.378216,-211478.974215,14143258803.286236,-7158763406.613740
132920.429293,-212463.923410,14204563015.006796,-7185097744.648001
133610.778472,-213449.023392,14265876570.837090,-7211436809.074450
134301.423315,-214434.272830,14327199394.297308,-7237780558.171599
134992.361411,-215419.670409,14388531409.828793,-7264128950.759193
135683.590377,-216405.214834,14449872542.779478,-7290481946.189002
136375.107862,-217390.904823,14511222719.389633,-7316839504.335815
137066.911539,-218376.739114,14572581866.777868,-7343201585.588621
137758.999111,-219362.716458,14633949912.927412,-7369568150.841966
138451.368308,-220348.835624,14695326786.672661,-7395939161.487496
139144.016886,-221335.095396,14756712417.685978,-7422314579.405675
139836.942629,-222321.494572,14818106736.464746,-7448694366.957663
140530.143343,-223308.031968,14879509674.318670,-7475078486.977371
141223.616864,-224294.706412,14940921163.357315,-7501466902.763676
141917.361051,-225281.516748,15002341136.477886,-7527859578.072786
142611.373788,-226268.461834,15063769527.353233,-7554256477.110771
